Admit,Gender,Dept
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
Admitted,Male,A
